Fecha,EquipoLocal,EquipoVisitante,Prob_Victoria_Local,Prob_Empate,Prob_Victoria_Visitante,golesLocalFinal,golesVisitanteFinal,golesLocalDescanso,golesVisitanteDescanso,golesLocalReal,golesVisitanteReal,Ganador
2021-02-07,Osasuna,Eibar,44,28,27,1,1,1,0,2.0,1.0,H
2021-02-07,Betis,Barcelona,42,25,31,2,1,1,1,2.0,3.0,A
2021-02-08,Ath Madrid,Celta,69,17,13,2,1,1,0,2.0,2.0,D
2021-02-09,Real Madrid,Getafe,68,20,11,2,1,1,0,2.0,0.0,H
2021-02-12,Celta,Elche,53,25,20,2,1,1,0,3.0,1.0,H
2021-02-13,Granada,Ath Madrid,38,24,36,1,1,1,1,1.0,2.0,A
2021-02-13,Sevilla,Huesca,68,19,11,2,1,1,0,1.0,0.0,H
2021-02-13,Eibar,Valladolid,46,27,26,1,1,1,0,1.0,1.0,D
2021-02-13,Barcelona,Alaves,72,17,10,2,1,1,0,5.0,1.0,H
2021-02-14,Getafe,Sociedad,24,28,47,1,2,1,1,0.0,1.0,A
2021-02-14,Real Madrid,Valencia,65,21,13,2,1,1,0,2.0,0.0,H
2021-02-14,Levante,Osasuna,58,22,18,2,1,1,0,0.0,1.0,A
2021-02-14,Villarreal,Betis,57,21,20,2,1,1,0,1.0,2.0,A
2021-02-15,Cadiz,Ath Bilbao,39,25,35,1,1,1,1,0.0,4.0,A
2021-02-17,Levante,Ath Madrid,37,25,37,1,1,1,1,1.0,1.0,D
2021-02-19,Betis,Getafe,65,20,13,2,1,1,0,1.0,0.0,H
2021-02-20,Elche,Eibar,45,27,27,1,1,1,1,1.0,0.0,H
2021-02-20,Ath Madrid,Levante,64,18,16,2,1,1,0,0.0,2.0,A
2021-02-20,Valencia,Celta,36,27,35,1,1,1,1,2.0,0.0,H
2021-02-20,Valladolid,Real Madrid,28,28,43,1,2,0,1,0.0,1.0,A
2021-02-21,Barcelona,Cadiz,76,14,9,3,1,1,0,1.0,1.0,D
2021-02-21,Sociedad,Alaves,68,19,11,2,1,1,0,4.0,0.0,H
2021-02-21,Huesca,Granada,35,27,37,1,1,0,1,3.0,2.0,H
2021-02-21,Ath Bilbao,Villarreal,56,19,23,2,1,1,1,1.0,1.0,D
2021-02-22,Osasuna,Sevilla,34,28,36,1,1,1,1,0.0,2.0,A
2021-02-24,Barcelona,Elche,72,17,10,2,1,1,0,3.0,0.0,H
2021-02-26,Levante,Ath Bilbao,42,24,33,2,1,1,1,1.0,1.0,D
2021-02-27,Eibar,Huesca,46,29,24,1,1,1,1,1.0,1.0,D
2021-02-27,Sevilla,Barcelona,48,21,30,2,1,1,1,0.0,2.0,A
2021-02-27,Alaves,Osasuna,37,31,30,1,1,1,1,0.0,1.0,A
2021-02-27,Getafe,Valencia,38,31,29,1,1,1,0,3.0,0.0,H
2021-02-28,Celta,Valladolid,56,24,19,2,1,1,0,1.0,1.0,D
