Temporada,Fecha,EquipoLocal,GolesFavL5,GolesConL5,PuntosL5,PosicionLocal,GolesFav1L5,GolesCont1L5,EquipoVisitante, GolesFavV5,GolesConV5,PuntosV5,PosicionVisitante,GolesFav1V5,GolesCon1V5,Ganador,Goles Local,Goles Visitante,Goles Local primera parte,Goles Visitante primera parte
2020-21,20/12/2020,Celta,4,10,3,11,3.0,5.0,Alaves,7,8,6,18,4.0,5.0,H,2.0,0.0,1.0,0.0
2020-21,20/12/2020,Granada,7,8,7,6,3.0,5.0,Betis,8,3,11,1,4.0,1.0,H,2.0,0.0,2.0,0.0
2020-21,20/12/2020,Cadiz,6,2,11,7,5.0,2.0,Getafe,2,3,6,12,0.0,1.0,A,0.0,2.0,0.0,1.0
2020-21,20/12/2020,Eibar,2,9,2,20,1.0,4.0,Real Madrid,6,1,11,2,3.0,1.0,A,1.0,3.0,1.0,2.0
2020-21,22/12/2020,Elche,6,3,9,17,4.0,1.0,Osasuna,5,6,5,10,3.0,3.0,D,2.0,2.0,0.0,1.0
2020-21,22/12/2020,Valencia,6,7,6,11,2.0,5.0,Sevilla,9,4,11,4,3.0,3.0,A,0.0,1.0,0.0,0.0
2020-21,22/12/2020,Huesca,4,7,5,15,4.0,3.0,Levante,7,6,6,13,3.0,2.0,D,1.0,1.0,1.0,0.0
2020-21,22/12/2020,Sociedad,9,7,12,8,3.0,3.0,Ath Madrid,8,2,15,2,3.0,2.0,A,0.0,2.0,0.0,0.0
2020-21,22/12/2020,Valladolid,7,8,5,16,2.0,3.0,Barcelona,13,5,10,6,6.0,2.0,A,0.0,3.0,0.0,2.0
2020-21,22/12/2020,Villarreal,6,7,5,5,3.0,3.0,Ath Bilbao,4,4,6,18,2.0,3.0,D,1.0,1.0,0.0,1.0
2020-21,23/12/2020,Getafe,5,6,6,10,2.0,4.0,Celta,8,12,3,15,6.0,6.0,D,1.0,1.0,1.0,1.0
2020-21,23/12/2020,Real Madrid,13,4,13,1,9.0,2.0,Granada,8,9,4,7,3.0,5.0,H,2.0,0.0,0.0,0.0
2020-21,23/12/2020,Alaves,5,9,4,19,3.0,3.0,Eibar,3,10,1,20,2.0,5.0,H,2.0,1.0,2.0,1.0
2020-21,23/12/2020,Betis,5,10,5,4,0.0,5.0,Cadiz,3,11,1,11,2.0,7.0,H,1.0,0.0,0.0,0.0
2020-21,29/12/2020,Sevilla,6,5,9,3,1.0,2.0,Villarreal,2,9,2,6,2.0,8.0,H,2.0,0.0,1.0,0.0
